abbAs 
ShahbAz
ShAheen
ShahkAm
ShahrAm
ShahrdAd
ShahriAr/ShahryAr
ShAhrokh
Shahruz/Shahrooz
ShahyAr
ShApour
ShAyA
ShAyAn
Shervin/Sherveen
SiAmak
SiAvosh/Siavash
SinA 
Soheil 
SohrAb
Soroush/Sorush
TAher 
Tahmouress
TahmAseb
Teymour
TirdAd
Touraj/Tooraj
VafA 
VarshAsb
VishtAsb
Yaghoub 
Yahya 
YAshAr
Youness 
Yousef 
ZakariA
ZAl
ZAmyAd
Zand
Zartosht
ZiA 
Afareen
afsAneh
afsar
afshAn
afsoon
aghigh 
Ahou/Ahoo
akhtar
akram 
AlAleh
AnAhitA
anusheh/anoosheh
ArA
Arezoo
arghavAn
armaghAn
ashraf 
AsA
asal
Assieh
Atefeh 
atifeh 
AtoosA
AvA
Avizeh
AzAdeh
Azin
AzitA
Azar
BahAr
BahArak
BahAreh
BahAmin/BahAmeen
Banafsheh
BAnou
BeetA/BitA
BehnAz
Behrokh
BehbahA
Bolour
Bousseh
ChalipA
DaryA
DelArAm
Delbar
Delkash
DeenA/DinA
DonyA
Dorri
EhterAm 
ElAheh 
ElhAm 
ElnAz
Fakhri 
Farah 
FarahnAz
Farangis
FaribA
Farideh
Farkhondeh
Farrin
FarzAneh
FarAnak
FarnAz
FAtemeh 
Fereshteh
FilA
Firouzeh/Feerouzeh
FojAn/FozhAn
Forough
ForouzAn
Forouzandeh
GelAreh
Ghamzeh
GhAssedak
GhazAl
GhazAleh
Ghodsi
Ghoncheh
Gisou/Geesou
GitA/GuitA
Giti/Guiti
GolbahAr
Goli
GolnAr
GolnAz
GolnessA
Golpari
Golshan
GordiA
Habibeh 
HAideh 
HAleh 
Hamideh 
Hastee/Hasti
Hediyeh
HengAmeh
HodA 
HomA
HomeirA 
Hormat 
Houri
ImAn 
IrAn
IrAn-dokht
Jannat 
Jamileh 
JavAneh
KatAyoun
KhandAn
KhAtereh
Khorsheed
Khojassteh
KimiyA
KobrA 
Kowkab/Kokab 
LAdan
LAleh
LeylA/LailA/LeilA 
Leily/Layly/Laily
LidA
LilA
Lily/Lili
Mahasti
MAhdokht
MahlaghA/MahleghA 
Maheen/Mahin
MAhrokh
MahkAmeh
MahnAz
Mahnoosh
Mahsheed
MahsA
MahtA
MahtAb
Mahvash
Malakeh
Maliheh 
MAnA
MandAna
MAnee/MAni
Manizheh
MarjAn
MarjAneh
Marmar
Maryam/Mariam
Marzieh 
Masoumeh 
MastAneh
Mastoureh 
MehrAngiz
MehrnAz
Mehrnoosh
Mehry
MeshiA
MinA
Minoo
MitrA
MozhgAn
Mozhdeh
MonA
Moneer/Monir 
Moneereh/Monireh 
MorvAreed
NAdereh 
Naghmeh
NahAl
NAheed/NAhid
Nargess
Naseem/Nasim 
NastarAn
Nasreen/Nasrin
NavA
Nayyer
NAzAfarin
NAzanin
NAzgol
NAzhin
NAzy
NAzillA
Negeen/Negin
NegAr
NegAh
NedA
NeshAt 
Niloufar
Niki
Nikoo/Nikou
NiyooshA
Noor/Nour
Noushin
NoushAfarin
Oldooz
Omeed/Omid
Oranous
Orkideh
Padideh
Parand
Parastoo
Paree/Pari
Pareechehr
Pareerou
PareesA/ParisA
Pareevash
PareeyA
Parto
ParvAneh
Parvin
PegAh
PeymAneh
Peyvand
Pouneh/Pooneh
Poupak
PourAn
PourAn-dokht
Pouri
RahA
RanA 
RAmesh
RasA
RavAn
RimA/ReemA
ReyhAneh/RayhAneh 
RobAbeh 
Roshanak
RoudAbeh
RoxAnA/RoksAnA
RoyA 
SabA 
Sadaf 
Saeedeh 
Sahar 
SahbA
SAghar
SalmA 
SAlomeh
Saman
SamilA
Samin/Sameen 
SamirA
Samireh 
Sanam 
SAnAz
SArA 

SarvenAz
SAyeh
SeemA/SimA
SeetA/SitA
Sepeedeh/Sepideh
SetAreh
ShAdAn
ShAdee/ShAdi
Shabnam
ShaghAyegh 
Shahin/Shaheen
ShahlA
ShAhzAdeh
ShahnAz
ShahrbAnou
ShahrnAz
ShahrzAd
Shalizeh
Shams
SharAreh
Sheefteh
Shervin
SheydA
SheevA/ShivA
Shideh/Sheedeh
ShimA
Shirin/Shireen
Shirin-bAnoo
Sholeh
Shohreh 
Shokoufeh
Shokouh
ShoukA
Simin
Sogand
SoheilA 
SorayA
SoudAbeh
SoulmAz
Souri/Suri
Sussan/Soussan
SouzAn
TAhereh 
Tahmineh
TalA
TalAyeh 
TannAz 
TArA
TarAneh
TarsA
Tayyebeh 
TeenA/TinA
ToubA/ToobA 
ToucA
TourAn
VandA
Vida/Veeda
YaldA
YAsaman
YAss
YegAneh
YektA
ZahrA 
Zari
Zarrin
Zarrin-dokht
ZeebA/ZibA
zhAleh/JAleh
Zhila/JillA
Zohreh
ZoyA
